"1","2","8","10","13","27","30","39"
"2","1","9","16","20","21","43","5"
"3","1","5","15","31","36","38","13"
"4","16","18","26","27","34","40","13"
"5","9","15","21","23","27","28","43"
"6","6","12","23","25","28","38","22"
"7","7","19","21","23","33","35","26"
"8","11","16","18","20","42","43","28"
"9","11","19","23","38","39","42","15"
"10","1","3","19","21","35","39","26"
"11","12","26","32","37","40","42","16"
"12","14","17","27","28","35","39","22"
"13","13","29","31","37","41","42","17"
"14","2","8","11","35","37","38","43"
"15","4","6","11","20","21","28","36"
"16","5","12","13","29","34","35","30"
"17","14","20","25","34","35","36","11"
"18","6","16","18","27","36","41","33"
"19","4","8","12","30","33","43","14"
"20","7","29","33","35","37","39","19"
"21","5","7","13","19","38","41","42"
"22","8","12","16","19","20","35","41"
"23","7","10","28","32","33","40","13"
"24","15","18","19","30","36","38","13"
"25","11","32","34","37","40","43","8"
"26","3","4","11","12","13","43","22"
"27","4","8","20","30","33","38","10"
"28","6","11","15","20","31","41","7"
"29","8","12","20","35","37","40","33"
"30","4","16","17","19","26","37","8"
"31","7","18","22","25","28","43","4"
"32","3","6","7","23","29","41","33"
"33","8","17","22","25","29","41","13"
"34","2","20","25","30","37","40","10"
"35","3","5","13","30","32","41","28"
"36","1","16","20","23","30","40","17"
"37","3","5","9","17","21","41","26"
"38","2","9","26","27","34","43","42"
"39","10","18","22","25","39","42","17"
"40","5","17","25","34","38","39","2"
"41","18","21","27","33","36","38","23"
"42","4","15","21","24","33","37","9"
"43","1","2","3","15","24","26","27"
"44","3","16","24","31","34","42","36"
"45","7","9","28","32","36","38","8"
"46","11","14","21","24","25","42","41"
"47","3","11","14","25","27","31","22"
"48","2","5","28","30","33","40","26"
"49","2","13","21","31","32","41","35"
"50","5","13","15","25","27","39","40"
"51","7","15","24","37","38","41","34"
"52","1","16","24","25","36","42","21"
"53","2","15","23","37","40","43","25"
"54","14","25","26","31","37","42","7"
"55","11","12","13","14","37","39","28"
"56","10","13","25","31","32","42","40"
"57","2","14","22","27","35","42","34"
"58","4","8","9","13","16","25","28"
"59","9","15","17","30","32","41","31"
"60","20","21","23","28","30","42","29"
"61","4","8","22","25","27","28","6"
"62","2","3","9","12","15","30","42"
"63","11","16","20","28","34","40","22"
"64","2","14","19","22","32","41","9"
"65","2","10","22","23","31","43","28"
"66","7","15","17","30","33","35","14"
"67","1","4","6","11","18","25","3"
"68","16","23","30","35","37","39","38"
"69","1","9","31","35","40","41","14"
"70","6","11","20","23","24","31","17"
"71","1","10","11","13","19","20","3"
"72","10","12","24","29","33","37","34"
"73","1","6","15","19","27","36","25"
"74","3","14","27","28","40","43","39"
"75","2","4","9","19","23","31","18"
"76","1","10","12","16","20","35","29"
"77","5","10","15","28","37","38","13"
"78","5","14","23","32","33","43","37"
"79","20","22","27","32","36","43","23"
"80","1","4","12","16","19","34","18"
"81","1","11","15","23","26","27","41"
"82","10","12","19","25","26","39","28"
"83","1","16","21","28","35","37","30"
"84","17","19","26","28","35","37","40"
"85","5","13","18","22","23","32","28"
"86","3","7","16","24","29","36","26"
"87","3","8","12","36","39","41","10"
